district,hour,pm10,pm25,o3,no2,co,so2
동대문구,10,34.68421052631579,17.69252077562327,0.027043801652892562,0.020242148760330578,0.4120385674931129,0.0025482093663911844
동대문구,11,36.53760445682451,18.941504178272982,0.03253157894736842,0.01809584487534626,0.3895013850415513,0.002578670360110803
동대문구,12,36.30594900849859,18.651558073654392,0.03776591549295775,0.016087042253521127,0.3702535211267606,0.0026101408450704224
동대문구,13,36.47159090909091,19.439093484419264,0.04255,0.014463483146067416,0.3537359550561798,0.0026002808988764043
동대문구,14,35.49295774647887,18.73728813559322,0.04594033613445378,0.013124157303370788,0.33519662921348314,0.002591011235955056
동대문구,15,35.18857142857143,18.742857142857144,0.04803531073446328,0.01247960339943343,0.32470254957507083,0.0025917847025495747
동대문구,16,34.447976878612714,18.514450867052023,0.04833768115942029,0.012802318840579712,0.3231304347826087,0.002575652173913043
동대문구,17,34.47550432276657,19.04310344827586,0.04736512968299712,0.013664739884393063,0.32673410404624276,0.002551156069364162
동대문구,18,33.579387186629525,18.119777158774372,0.044270165745856356,0.01522707182320442,0.34099447513812153,0.002547790055248619
동대문구,19,34.29834254143646,18.73204419889503,0.03971071428571429,0.017340659340659342,0.36857142857142855,0.002528296703296703
동대문구,20,34.05801104972376,19.074585635359117,0.03563543956043956,0.018880494505494505,0.3902472527472528,0.002513186813186813
동대문구,21,34.19113573407202,19.53867403314917,0.032385164835164834,0.019783516483516485,0.4076373626373626,0.0025104395604395604
동대문구,22,33.51381215469613,19.044198895027623,0.030405494505494506,0.020257417582417583,0.41848901098901103,0.0024804945054945054
동대문구,23,34.15469613259668,19.447513812154696,0.028503296703296703,0.02072802197802198,0.4235989010989011,0.0024837912087912087
동작구,0,32.08839779005525,18.443526170798897,0.027410192837465562,0.0215739010989011,0.3986813186813187,0.002333977900552486
동작구,1,32.7617728531856,19.886740331491712,0.02653884297520661,0.02092445054945055,0.3976923076923077,0.002303867403314917
동작구,2,31.647222222222222,18.49171270718232,0.025946005509641875,0.019840934065934065,0.38956043956043956,0.0022930939226519335
동작구,3,31.641666666666666,19.060941828254848,0.025541873278236912,0.018776923076923076,0.3804395604395604,0.0022756906077348064
동작구,4,30.863888888888887,17.95303867403315,0.024953168044077136,0.018493956043956043,0.3755494505494505,0.0022298342541436466
동작구,5,30.916201117318437,18.78393351800554,0.024268595041322314,0.018296153846153844,0.3726098901098901,0.0022349862258953168
동작구,6,30.73259052924791,17.958448753462605,0.021961707988980717,0.019971153846153847,0.3806043956043956,0.002228650137741047
동작구,7,31.905555555555555,18.82825484764543,0.0187732782369146,0.02386456043956044,0.4039835164835165,0.0022694214876033056
동작구,8,31.73611111111111,17.99171270718232,0.01931542699724518,0.025117857142857147,0.4256868131868132,0.0023663911845730025
동작구,9,32.83844011142061,18.736842105263158,0.023573204419889502,0.0231168044077135,0.424931129476584,0.0024422651933701657
동작구,10,33.66480446927374,18.282548476454295,0.029014088397790055,0.019965840220385677,0.39980716253443527,0.0025052486187845304
동작구,11,35.33618233618234,19.65730337078652,0.034596089385474864,0.017673537604456824,0.37529247910863506,0.002537150837988827
동작구,12,34.331428571428575,18.50980392156863,0.040184225352112676,0.015610674157303371,0.3541573033707865,0.0025247191011235955
동작구,13,34.344729344729345,18.966480446927374,0.04523220338983051,0.01383370786516854,0.33570224719101127,0.002512078651685393
동작구,14,33.48554913294798,17.54131054131054,0.04901604584527221,0.01261057142857143,0.32202857142857144,0.0024914285714285715
동작구,15,33.8187134502924,17.988603988603987,0.050421676300578026,0.012314739884393064,0.31390173410404626,0.002488728323699422
동작구,16,32.62931034482759,16.759206798866856,0.05100738636363636,0.012376704545454547,0.31125,0.0024962962962962964
동작구,17,32.787535410764875,17.873595505617978,0.049806162464985995,0.013445938375350141,0.3153501400560224,0.00246
동작구,18,32.37119113573407,17.138121546961326,0.04591515151515152,0.015841483516483516,0.3310164835164835,0.002440331491712707
동작구,19,32.72853185595568,18.498614958448755,0.0407801652892562,0.018537637362637364,0.3551373626373627,0.002437465564738292
동작구,20,32.335180055401665,17.90082644628099,0.03592038567493113,0.020605219780219782,0.3775,0.002400275482093664
동작구,21,32.889502762430936,19.03030303030303,0.03263305785123967,0.021460714285714284,0.39054945054945056,0.0023734806629834254
동작구,22,32.18232044198895,18.305785123966942,0.030713223140495866,0.02143956043956044,0.39884615384615385,0.0023602209944751378
동작구,23,32.65469613259668,19.261707988980717,0.028757575757575756,0.02161978021978022,0.3999725274725275,0.0023607734806629834
마포구,0,30.23204419889503,18.49171270718232,0.02828846153846154,0.021298901098901098,0.40741758241758247,0.0025315934065934065
마포구,1,30.407202216066484,19.052486187845304,0.0276239010989011,0.020604395604395604,0.40758241758241764,0.002528021978021978
마포구,2,29.449035812672175,18.228650137741045,0.02715,0.01968379120879121,0.4010714285714286,0.0025032967032967033
마포구,3,29.325966850828728,18.81267217630854,0.02700879120879121,0.018495604395604395,0.3894230769230769,0.002476373626373626
마포구,4,28.381615598885794,17.955801104972377,0.026633516483516483,0.017817032967032968,0.37835164835164836,0.0024263736263736265
마포구,5,28.930939226519335,18.58677685950413,0.025375549450549453,0.018214560439560438,0.37543956043956045,0.0024005494505494507
마포구,6,28.2292817679558,17.975138121546962,0.022213186813186812,0.020522802197802198,0.38236263736263737,0.0024008241758241757
마포구,7,29.193905817174514,18.632596685082873,0.019819505494505493,0.02321510989010989,0.3925274725274725,0.0024282967032967034
마포구,8,29.354570637119114,17.715469613259668,0.020333516483516483,0.024355769230769233,0.41021978021978023,0.0025126373626373627
마포구,9,32.09470752089136,18.79281767955801,0.02369447513812155,0.02330413223140496,0.4212396694214876,0.002600276243093923
마포구,10,34.21787709497207,19.58888888888889,0.02890858725761773,0.02111574585635359,0.40698895027624316,0.0027055555555555557
마포구,11,37.07843137254902,21.467422096317282,0.03514902506963788,0.018735555555555554,0.38480555555555557,0.0027593314763231197
