name,longitude,latitude,address
도화소 어린이공원,126.9456944,37.54111111,서울특별시 마포구 큰우물로 76
대흥어린이공원,126.9435833,37.54363889,서울특별시 마포구 토정로31길 55-10
낙산공원,127.008018484,37.580833408,서울특별시 종로구 동숭동 50-151
안산도시자연공원,126.9397778,37.57722222,서울특별시 서대문구 연희동 산 2-13
낙산공원,127.00857717,37.580265634,서울특별시 종로구 낙산성곽서길 184
복사꽃 공원,126.9464444,37.53902778,서울특별시 마포구 마포대로4길 11-1
삼개어린이공원,126.9450278,37.54061111,서울특별시 마포구 토정로37길 12
혜화문쉼터,127.004,37.58813889,서울특별시 성북구 창경궁로35길 87
안산 자연학습장,126.9389167,37.57733333,서울특별시 서대문구 연희로36길 32
서빙고 기와터공원,126.969633879,37.526025188,서울특별시 용산구 서빙고로 31
응암새싹어린이공원,126.921299605,37.593128757,서울특별시 은평구 응암로22길 28-10
경의선숲길,126.93975,37.54794444,서울특별시 마포구 백범로10길 32
삼선어린이공원,127.008657903,37.583060142,서울특별시 성북구 삼선교로4나길 19
대궐제 어린이공원,126.9370278,37.57408333,서울특별시 서대문구 연희로26나길 21
낙산공원,127.0105,37.57991667,서울특별시 종로구 창신길 210-11
고은산 놀이터,126.9418611,37.58558333,서울특별시 서대문구 통일로37나길 65
토정 어린이공원,126.9433056,37.54055556,서울특별시 마포구 토정로 307
산마루놀이터공원,127.01235647,37.575580786,서울특별시 종로구 창신6가길 39
약수동마을마당,127.012623227,37.552890442,서울특별시 중구 동호로8나길 14
약수동마을마당,127.012744709,37.552707294,서울특별시 중구 동호로8나길 15
떡볶이 마을마당,127.0144722,37.56336111,서울특별시 중구 다산로33가길 23
서빙고근린공원,126.972072652,37.52443396,서울특별시 용산구 용산동5가 24-2
문화소공원,126.9488889,37.59466667,서울특별시 서대문구 세검정로 78-10
성북천공원,127.0065833,37.58827778,서울특별시 성북구 동소문로 2
청구어린이공원,127.0138056,37.55577778,서울특별시 중구 다산로14길 47
안산도시자연공원,126.9381111,37.58038889,서울특별시 서대문구 모래내로 376-19
낙산공원,127.010834192,37.581500839,서울특별시 성북구 삼선교로16길 116
약수사랑터,127.0130833,37.55158333,서울특별시 중구 동호로5길 19
홍제천변 음수대,126.945624985,37.592783583,서울특별시 서대문구 세검정로3길 26
문화촌 어린이공원,126.947480294,37.595020849,서울특별시 서대문구 간호대로 11-50
홍제천변 음수대,126.93752025,37.581870544,서울특별시 서대문구 모래내로 376-15
한강시민공원(이촌지구),126.951988523,37.529739318,서울특별시 용산구 이촌동 173-3
용산가족공원,126.984292297,37.52401474,서울특별시 용산구 서빙고로 137
한강시민공원망원지구,126.946119155,37.534092502,서울특별시 용산구 청암동 170-1
응봉근린공원,127.014155046,37.551053494,서울특별시 중구 동호로8나길 50-16
보은소공원,126.9465833,37.59494444,서울특별시 서대문구 홍은중앙로 41
서대문구-궁말어린이공원,126.933591697,37.571210497,서울특별시 서대문구 연희로 153-8
응봉근린공원,127.0141944,37.55047222,서울특별시 성동구 금호동3가 산 2-1
마포 어린이공원,126.9439444,37.53563889,서울특별시 마포구 마포대로4다길 31
서대문구-안산도시자연공원,126.938427818,37.585438775,서울특별시 서대문구 송죽길 49
응봉근린공원,127.006983858,37.536762138,서울특별시 용산구 한남대로28가길 31-12
새싹어린이공원,126.954406718,37.526962288,서울특별시 용산구 이촌로14길 11-22
응봉근린공원,127.006993875,37.536530082,서울특별시 용산구 한남대로 90
불천 어린이공원,126.947807576,37.597102225,서울특별시 서대문구 간호대로 26
한강시민공원망원지구,126.9415833,37.53719444,서울특별시 마포구 마포동 422
용산가족공원,126.984212426,37.522260131,서울특별시 용산구 용산동6가 68-92
강변소공원 창의어린이놀이터,126.975,37.52111111,서울특별시 용산구 이촌로65가길 91
보광 달맞이공원,126.998120902,37.527929854,서울특별시 용산구 보광로31길 21-29
용산가족공원,126.983892134,37.521730313,서울특별시 용산구 서빙고로 185
응봉근린공원,127.0169444,37.55361111,서울특별시 중구 동호로10길 30
개운산근린공원,127.026634108,37.599296964,서울특별시 성북구 종암로19다길 42-16
현충원,126.970602064,37.501517195,서울특별시 동작구 동작동 215-5
합정 어린이공원,126.9130556,37.55169444,서울특별시 마포구 양화로11길 63
녹번마을마당공원,126.9276111,37.60608333,서울특별시 은평구 녹번로3길 12-4
노량진근린공원,126.944126515,37.509003011,서울특별시 동작구 만양로13가길 28-4
서마장어린이공원,127.037329069,37.571695093,서울특별시 성동구 청계천로 546
현충원,126.968349501,37.50128174,서울특별시 동작구 현충로 210
현충원,126.969804377,37.501128288,서울특별시 동작구 현충로 210
길음어울림마당,127.024684761,37.60299365,서울특별시 성북구 동소문로 248-1
한강시민공원(여의도안내센터),126.919391307,37.533263317,서울특별시 영등포구 여의도동 82-3
노량진근린공원,126.9440556,37.50866667,서울특별시 동작구 만양로13가길 34-1
한강시민공원(여의도안내센터),126.919260941,37.533289717,서울특별시 영등포구 여의도동 82-3
살곶이공원,127.036987017,37.551487747,서울특별시 성동구 응봉동 235-1
방아다리어린이공원,127.034737466,37.585081177,서울특별시 동대문구 제기로2가길 8
개운산근린공원,127.0268889,37.60052778,서울특별시 성북구 돈암동 산 3-3
현충원,126.971522087,37.500601931,서울특별시 동작구 동작동 223-3
현충원,126.975171745,37.500449198,서울특별시 동작구 현충로 210
늘푸른어린이공원,127.020423493,37.608533186,서울특별시 성북구 길음로13길 11
매바위어린이공원,126.919360908,37.595899871,서울특별시 은평구 응암로 271
성산 근린공원,126.91075,37.56247222,서울특별시 마포구 월드컵북로15안길 26
앙카라(자매)공원,126.931103,37.517240212,서울특별시 영등포구 여의대방로 372-1
보람어린이공원,127.038711224,37.566089607,서울특별시 성동구 마장로 271
현충원,126.973319218,37.500039849,서울특별시 동작구 동작동 225-4
솔향기어린이공원,127.0215278,37.60797222,서울특별시 성북구 길음로 16
여의도공원,126.9230556,37.52583333,서울특별시 영등포구 여의공원로 68
현충원,126.977305564,37.499866017,서울특별시 동작구 동작동 162-5
현충원,126.973995503,37.499592184,서울특별시 동작구 동작동 165-3
현충원,126.971523053,37.499662271,서울특별시 동작구 동작동 215-5
현충원,126.970413954,37.499718146,서울특별시 동작구 현충로 210
여의도공원,126.922,37.52666667,서울특별시 영등포구 여의공원로 68
새록어린이공원,126.923586484,37.603937999,서울특별시 은평구 은평로11길 34-1
포수동어린이공원,126.9193611,37.59802778,서울특별시 은평구 은평로8길 28
거꾸로 어린이 공원,126.9131111,37.58519444,서울특별시 서대문구 증가로32안길 31-10
앙카라(자매)공원,126.9294444,37.51722222,서울특별시 영등포구 여의대방로 372-1
참다래 어린이공원,126.9173889,37.59530556,서울특별시 은평구 응암로25길 8
현충원,126.974820458,37.49891533,서울특별시 동작구 동작동 165-3
현충원,126.973078248,37.498912079,서울특별시 동작구 동작동 165-3
살곶이공원,127.038954464,37.552342716,서울특별시 성동구 살곶이길 313-143
한강시민공원(여의도안내센터),126.930045596,37.51641263,서울특별시 영등포구 여의도동 57
정릉천,127.0363611,37.58636111,서울특별시 동대문구 정릉천동로 157
은평평화공원,126.9235556,37.60522222,서울특별시 은평구 서오릉로 45
용두공원,127.0396944,37.57305556,서울특별시 동대문구 용두동 47-4
신사목련공원,127.025765474,37.522801593,서울특별시 강남구 논현로159길 32
북한산도시자연공원,127.0088889,37.62027778,서울특별시 강북구 솔샘로 159
응봉근린공원,127.0283889,37.55430556,서울특별시 성동구 행당동 324-334
한강시민공원(여의도안내센터),126.932572668,37.529379474,서울특별시 영등포구 여의도동 84-10
노들나루공원(노량진배수지시민공원),126.953443103,37.513805638,서울특별시 동작구 노량진로 247
응봉근린공원,127.0288889,37.55433333,서울특별시 성동구 행당동 324-334
삼각소공원,126.920829465,37.576506836,서울특별시 서대문구 가재울로 82
응봉근린공원,127.0288056,37.55252778,서울특별시 성동구 독서당로57가길 24
가좌 어린이공원,126.920578548,37.57582171,서울특별시 서대문구 가재울로 45
한강시민공원(여의도안내센터),126.9333333,37.52722222,서울특별시 영등포구 여의동로 343
한강시민공원(여의도안내센터),126.9333333,37.52722222,서울특별시 영등포구 여의동로 343
한강시민공원반포지구,126.965293009,37.50947028,서울특별시 동작구 현충로 85-12
성동구-장미원공원,127.02887435,37.552104178,서울특별시 성동구 독서당로57길 42
응봉근린공원,127.02909269,37.552939249,서울특별시 성동구 독서당로63길 63-1
독서당공원,127.0289444,37.55005556,서울특별시 성동구 독서당로 375
